date,time_days,S,E,I,R,D,S_norm,E_norm,I_norm,R_norm,new_cases,hospitalized,icu_patients,home_confinement,population
24/02/2020,0,59999771,0,221,1,7,0.999996183,0,3.68E-06,1.67E-08,221,101,26,94,60000000
25/02/2020,1,59999678,0,311,1,10,0.999994633,0,5.18E-06,1.67E-08,93,114,35,162,60000000
26/02/2020,2,59999600,0,385,3,12,0.999993333,0,6.42E-06,5.00E-08,78,128,36,221,60000000
27/02/2020,3,59999350,0,588,45,17,0.999989167,0,9.80E-06,7.50E-07,250,248,56,284,60000000
28/02/2020,4,59999112,0,821,46,21,0.9999852,0,1.37E-05,7.67E-07,238,345,64,412,60000000
29/02/2020,5,59998872,0,1049,50,29,0.9999812,0,1.75E-05,8.33E-07,240,401,105,543,60000000
01/03/2020,6,59998306,0,1577,83,34,0.999971767,0,2.63E-05,1.38E-06,566,639,140,798,60000000
02/03/2020,7,59997964,0,1835,149,52,0.999966067,0,3.06E-05,2.48E-06,342,742,166,927,60000000
03/03/2020,8,59997498,0,2263,160,79,0.9999583,0,3.77E-05,2.67E-06,466,1034,229,1000,60000000
04/03/2020,9,59996911,0,2706,276,107,0.999948517,0,4.51E-05,4.60E-06,587,1346,295,1065,60000000
05/03/2020,10,59996142,0,3296,414,148,0.9999357,0,5.49E-05,6.90E-06,769,1790,351,1155,60000000
06/03/2020,11,59995364,0,3916,523,197,0.999922733,0,6.53E-05,8.72E-06,778,2394,462,1060,60000000
07/03/2020,12,59994117,0,5061,589,233,0.99990195,0,8.44E-05,9.82E-06,1247,2651,567,1843,60000000
08/03/2020,13,59992625,0,6387,622,366,0.999877083,0,0.00010645,1.04E-05,1492,3557,650,2180,60000000
09/03/2020,14,59990828,0,7985,724,463,0.999847133,0,0.000133083,1.21E-05,1797,4316,733,2936,60000000
10/03/2020,15,59989851,0,8514,1004,631,0.99983085,0,0.0001419,1.67E-05,977,5038,877,2599,60000000
11/03/2020,16,59987538,0,10590,1045,827,0.9997923,0,0.0001765,1.74E-05,2313,5838,1028,3724,60000000
12/03/2020,17,59984887,0,12839,1258,1016,0.999748117,0,0.000213983,2.10E-05,2651,6650,1153,5036,60000000
13/03/2020,18,59982340,0,14955,1439,1266,0.999705667,0,0.00024925,2.40E-05,2547,7426,1328,6201,60000000
14/03/2020,19,59978843,0,17750,1966,1441,0.999647383,0,0.000295833,3.28E-05,3497,8372,1518,7860,60000000
15/03/2020,20,59975253,0,20603,2335,1809,0.99958755,0,0.000343383,3.89E-05,3590,9663,1672,9268,60000000
